Frame,AX,AY,AZ,GX,GY,GZ
375,-10,10,8125,0,3,11
376,-10,10,8125,0,3,11
377,-10,10,8125,0,3,11
378,-10,10,8125,0,3,11
379,-10,10,8125,0,3,11
380,-10,10,8125,0,3,11
381,-10,10,8125,0,3,11
382,-10,10,8125,0,3,11
383,-10,10,8125,0,3,11
384,-10,10,8125,0,3,11
385,-10,10,8125,0,3,11
386,-10,10,8125,0,3,11
387,-10,10,8125,0,3,11
388,-10,10,8125,0,3,11
389,-10,10,8125,0,3,11
390,-10,10,8125,0,3,11
391,-10,10,8125,0,3,11
392,-10,10,8125,0,3,11
393,-10,10,8125,0,3,11
394,-10,10,8125,0,3,11
395,-10,10,8125,0,3,11
396,-10,10,8125,0,3,11
397,-10,10,8125,0,3,11
398,-10,10,8125,0,3,11
399,-10,10,8125,0,3,11
400,-10,10,8125,0,3,11
401,-10,10,8125,2,5,9
402,18,20,8045,2,5,9
403,18,20,8045,2,5,9
404,18,20,8045,2,5,9
405,18,20,8045,2,5,9
406,18,20,8045,2,5,9
407,18,20,8045,2,5,9
408,18,20,8045,2,5,9
409,18,20,8045,2,5,9
410,18,20,8045,2,5,9
411,18,20,8045,2,5,9
412,18,20,8045,2,5,9
413,18,20,8045,2,5,9
414,18,20,8045,2,5,9
415,18,20,8045,2,5,9
416,18,20,8045,2,5,9
417,18,20,8045,2,5,9
418,18,20,8045,2,5,9
419,18,20,8045,2,5,9
420,18,20,8045,2,5,9
421,18,20,8045,2,5,9
422,18,20,8045,2,5,9
423,18,20,8045,2,5,9
424,18,20,8045,2,5,9
425,18,20,8045,2,5,9
426,18,20,8045,2,5,9
427,18,20,8045,2,5,9
428,18,20,8045,2,5,9
429,18,20,8045,2,5,9
430,18,20,8045,2,5,9
431,18,20,8045,2,5,9
432,18,20,8045,2,5,9
433,18,20,8045,2,5,9
434,18,20,8045,2,5,9
435,18,20,8045,2,5,9
436,18,20,8045,2,5,9
437,18,20,8045,2,5,9
438,18,20,8045,2,5,9
439,18,20,8045,2,5,9
440,18,20,8045,2,5,9
441,18,20,8045,2,5,9
442,18,20,8045,2,5,9
443,18,20,8045,2,5,9
444,18,20,8045,2,5,9
445,18,20,8045,2,5,9
446,18,20,8045,2,5,9
447,18,20,8045,2,5,9
448,18,20,8045,2,5,9
449,18,20,8045,2,5,9
450,18,20,8045,2,5,9
451,18,20,8045,2,5,9
452,18,20,8045,2,5,9
453,18,20,8045,2,5,9
454,18,20,8045,2,5,9
455,18,20,8045,2,5,9
456,18,20,8045,2,5,9
457,18,20,8045,2,5,9
458,18,20,8045,2,5,9
459,18,20,8045,2,5,9
460,18,20,8045,2,5,9
461,18,20,8045,2,5,9
462,18,20,8045,2,5,9
463,18,20,8045,2,5,9
464,18,20,8045,2,5,9
465,18,20,8045,2,5,9
466,18,20,8045,2,5,9
467,18,20,8045,2,5,9
468,18,20,8045,2,5,9
469,-14,24,8041,4,4,10
470,-14,24,8041,4,4,10
471,-14,24,8041,4,4,10
472,-14,24,8041,4,4,10
473,-14,24,8041,4,4,10
474,50,60,8057,2,3,11
475,50,60,8057,2,3,11
476,50,60,8057,2,3,11
477,50,60,8057,2,3,11
478,50,60,8057,2,3,11
479,50,60,8057,2,3,11
480,50,60,8057,2,3,11
481,50,60,8057,2,3,11
482,50,60,8057,2,3,11
483,50,60,8057,2,3,11
484,50,60,8057,2,3,11
485,50,60,8057,2,3,11
486,50,60,8057,2,3,11
487,50,60,8057,2,3,11
488,50,60,8057,2,3,11
489,50,60,8057,2,3,11
490,50,60,8057,2,3,11
491,50,60,8057,2,3,11
492,50,60,8057,2,3,11
493,50,60,8057,2,3,11
494,50,60,8057,2,3,11
495,50,60,8057,2,3,11
496,50,60,8057,2,3,11
497,50,60,8057,2,3,11
498,50,60,8057,2,3,11
499,50,60,8057,2,3,11
500,50,60,8057,2,3,11
501,50,60,8057,2,3,11
502,50,60,8057,2,3,11
503,50,60,8057,2,3,11
504,50,60,8057,2,3,11
505,50,60,8057,2,3,11
506,50,60,8057,2,3,11
507,50,60,8057,2,3,11
508,50,60,8057,2,3,11
509,50,60,8057,2,3,11
510,50,60,8057,2,3,11
511,50,60,8057,2,3,11
512,50,60,8057,2,3,11
513,50,60,8057,2,3,11
514,50,60,8057,2,3,11
