Zaman,Hex_Veri,Decimal_Veri,Angle
2026-07-24 16:59:14,27,39,27.529411764705884
2026-07-24 16:59:14,2A,42,29.647058823529413
2026-07-24 16:59:14,2E,46,32.470588235294116
2026-07-24 16:59:14,30,48,33.88235294117647
2026-07-24 16:59:15,33,51,36.0
2026-07-24 16:59:15,35,53,37.411764705882355
2026-07-24 16:59:15,38,56,39.529411764705884
2026-07-24 16:59:15,3A,58,40.94117647058823
2026-07-24 16:59:15,3B,59,41.64705882352941
2026-07-24 16:59:15,3B,59,41.64705882352941
2026-07-24 16:59:15,3D,61,43.05882352941177
2026-07-24 16:59:15,40,64,45.1764705882353
2026-07-24 16:59:15,43,67,47.294117647058826
2026-07-24 16:59:15,44,68,48.0
2026-07-24 16:59:16,46,70,49.411764705882355
2026-07-24 16:59:16,48,72,50.8235294117647
2026-07-24 16:59:16,4B,75,52.94117647058823
2026-07-24 16:59:16,4D,77,54.35294117647059
2026-07-24 16:59:16,50,80,56.470588235294116
2026-07-24 16:59:16,54,84,59.294117647058826
2026-07-24 16:59:16,58,88,62.11764705882353
2026-07-24 16:59:16,5E,94,66.3529411764706
2026-07-24 16:59:16,65,101,71.29411764705883
2026-07-24 16:59:16,73,115,81.17647058823529
2026-07-24 16:59:17,85,133,93.88235294117646
2026-07-24 16:59:17,95,149,105.17647058823529
2026-07-24 16:59:17,BF,191,134.8235294117647
2026-07-24 16:59:17,CB,203,143.2941176470588
2026-07-24 16:59:17,D8,216,152.47058823529412
2026-07-24 16:59:17,E1,225,158.8235294117647
2026-07-24 16:59:17,EE,238,168.0
2026-07-24 16:59:17,FF,255,180.0
2026-07-24 16:59:17,FF,255,180.0
2026-07-24 16:59:17,FF,255,180.0
2026-07-24 16:59:18,FF,255,180.0
2026-07-24 16:59:18,FF,255,180.0
2026-07-24 16:59:18,FF,255,180.0
2026-07-24 16:59:18,FF,255,180.0
2026-07-24 16:59:18,FF,255,180.0
2026-07-24 16:59:18,FF,255,180.0
2026-07-24 16:59:18,FF,255,180.0
2026-07-24 16:59:18,FF,255,180.0
2026-07-24 16:59:18,F1,241,170.11764705882354
2026-07-24 16:59:18,DB,219,154.58823529411765
2026-07-24 16:59:19,C4,196,138.35294117647058
2026-07-24 16:59:19,B2,178,125.6470588235294
2026-07-24 16:59:19,96,150,105.88235294117646
2026-07-24 16:59:19,71,113,79.76470588235294
2026-07-24 16:59:19,49,73,51.529411764705884
2026-07-24 16:59:19,2E,46,32.470588235294116
2026-07-24 16:59:19,12,18,12.705882352941176
2026-07-24 16:59:19,04,4,2.823529411764706
2026-07-24 16:59:19,02,2,1.411764705882353
2026-07-24 16:59:19,0D,13,9.176470588235293
2026-07-24 16:59:20,0E,14,9.882352941176471
2026-07-24 16:59:20,0F,15,10.588235294117647
2026-07-24 16:59:20,0F,15,10.588235294117647
2026-07-24 16:59:20,0F,15,10.588235294117647
2026-07-24 16:59:20,0F,15,10.588235294117647
2026-07-24 16:59:20,0F,15,10.588235294117647
2026-07-24 16:59:20,0F,15,10.588235294117647
2026-07-24 16:59:20,0F,15,10.588235294117647
2026-07-24 16:59:20,0F,15,10.588235294117647
2026-07-24 16:59:20,0F,15,10.588235294117647
2026-07-24 16:59:21,0F,15,10.588235294117647
2026-07-24 16:59:21,0F,15,10.588235294117647
2026-07-24 16:59:21,0F,15,10.588235294117647
2026-07-24 16:59:21,0F,15,10.588235294117647
2026-07-24 16:59:21,0F,15,10.588235294117647
2026-07-24 16:59:21,0F,15,10.588235294117647
2026-07-24 16:59:21,0F,15,10.588235294117647
2026-07-24 16:59:21,0F,15,10.588235294117647
2026-07-24 16:59:21,0F,15,10.588235294117647
2026-07-24 16:59:21,0E,14,9.882352941176471
2026-07-24 16:59:22,0E,14,9.882352941176471
2026-07-24 16:59:22,0F,15,10.588235294117647
2026-07-24 16:59:22,0F,15,10.588235294117647
2026-07-24 16:59:22,0F,15,10.588235294117647
2026-07-24 16:59:22,0F,15,10.588235294117647
2026-07-24 16:59:22,0F,15,10.588235294117647
2026-07-24 16:59:22,0F,15,10.588235294117647
2026-07-24 16:59:22,0F,15,10.588235294117647
2026-07-24 16:59:22,0E,14,9.882352941176471
2026-07-24 16:59:22,0F,15,10.588235294117647
2026-07-24 16:59:23,0F,15,10.588235294117647
2026-07-24 16:59:23,0F,15,10.588235294117647
2026-07-24 16:59:23,0F,15,10.588235294117647
2026-07-24 16:59:23,0F,15,10.588235294117647
2026-07-24 16:59:23,0E,14,9.882352941176471
2026-07-24 16:59:23,0F,15,10.588235294117647
2026-07-24 16:59:23,0F,15,10.588235294117647
2026-07-24 16:59:23,0F,15,10.588235294117647
2026-07-24 16:59:23,0E,14,9.882352941176471
2026-07-24 16:59:23,0F,15,10.588235294117647
2026-07-24 16:59:24,10,16,11.294117647058824
2026-07-24 16:59:24,13,19,13.411764705882353
2026-07-24 16:59:24,13,19,13.411764705882353
2026-07-24 16:59:24,13,19,13.411764705882353
2026-07-24 16:59:24,13,19,13.411764705882353
2026-07-24 16:59:24,12,18,12.705882352941176
2026-07-24 16:59:24,12,18,12.705882352941176
2026-07-24 16:59:24,11,17,12.0
2026-07-24 16:59:24,12,18,12.705882352941176
2026-07-24 16:59:24,12,18,12.705882352941176
2026-07-24 16:59:25,12,18,12.705882352941176
